Genome;classified_CPBay_Spr15G08_DNA.bac.ar;classified_CPBay_Spr15L08_DNA.bac.ar;classified_CPBay_Spr31G08_DNA.bac.ar;classified_CPBay_Spr31L08_DNA.bac.ar;classified_CPBay_Sum06G08_DNA.bac.ar;classified_CPBay_Sum06L08_DNA.bac.ar;classified_CPBay_Sum15G08_DNA.bac.ar;classified_CPBay_Sum15L08_DNA.bac.ar;classified_CPBay_Sum20G08_DNA.bac.ar;classified_CPBay_Sum27G08_DNA.bac.ar;classified_CPBay_Sum27L08_DNA.bac.ar;classified_DEBay_Spr_20_G08.bac.ar;classified_DEBay_Spr_20_L08.bac.ar;classified_DEBay_Spr_30_G08.bac.ar;classified_DEBay_Spr_30_L08.bac.ar;classified_DEBay_Sum_019_D_G08.bac.ar;classified_DEBay_Sum_019_D_L08.bac.ar;classified_DEBay_Sum_019_N_G08.bac.ar;classified_DEBay_Sum_019_N_L08.bac.ar;classified_DEBay_Sum_22_D_G08.bac.ar;classified_DEBay_Sum_22_D_L08.bac.ar;classified_DEBay_Sum_22_N_G08.bac.ar;classified_DEBay_Sum_22_N_L08.bac.ar;classified_DEBay_Sum_29_D_G08.bac.ar;classified_DEBay_Sum_29_D_L08.bac.ar;classified_DEBay_Sum_29_N_G08.bac.ar;classified_DEBay_Sum_29_N_L08.bac.ar
Flavobacteriales_MAG_33;0;0;257.95145;145.71352;3521.9658;1688.0424;871.16296;585.3513;300.9885;0;166.16109;0;0;0;0;162.60713;0;600.3903;477.85648;9550.988;9087.579;12802.36;8637.774;970.94745;757.11346;1013.5834;644.965
Flavobacteriales_MAG_34;0;54.912964;224.36658;157.26985;1618.7775;815.4226;662.8596;386.6063;252.40314;0;140.8453;0;0;0;0;0;0;0;267.01907;7280.0195;9013.094;9472.686;8344.968;956.5719;949.4256;921.23694;739.81366
Flavobacteriales_MAG_35;0;0;0;0;4884.8667;2318.4126;0;0;0;0;0;0;0;0;0;757.49805;452.95877;440.13675;525.4928;0;0;0;0;0;0;0;0
Flavobacteriales_MAG_36;0;0;0;0;0;0;396.35986;95.954765;1181.7377;18825.684;2354.4326;0;0;0;0;0;0;0;0;2844.8347;245.75385;3602.1667;241.90503;22771.031;2621.2258;24630.555;1747.2762
Flavobacteriales_MAG_37;0;0;0;0;0;0;289.28284;0;860.1666;13795.321;1759.5015;0;0;0;0;0;0;0;0;2162.1216;192.67323;2787.9487;195.17674;15103.682;2071.3071;18548.977;1907.2977
Flavobacteriales_MAG_38;5545.286;2815.6545;16442.383;12595.546;0;0;0;0;0;673.662;433.4197;537.80927;892.98413;3951.779;4754.658;0;0;0;0;6675.6045;4901.1147;8203.236;5200.9424;8494.067;5641.6357;9241.399;4783.598
Flavobacteriales_MAG_39;8967.893;4416.2227;20967.596;16290.935;0;0;0;0;0;756.23413;451.63608;709.8189;1150.2164;4494.8594;3680.6858;0;0;0;282.8898;12384.327;8810.992;15020.068;9356.917;16964.586;10012.089;16718.586;8302.214
Flavobacteriales_MAG_4;0;0;0;0;0;0;770.04755;411.49472;675.1413;1192.7446;424.02728;0;0;0;0;0;0;0;0;9525.082;6133.85;11423.396;6649.1733;6803.0703;3067.5085;6486.974;2164.3289
Flavobacteriales_MAG_40;0;0;0;0;0;0;0;0;0;0;0;2891.6094;11393.585;5517.5337;2640.2566;0;0;0;0;0;0;0;0;0;0;0;0
Flavobacteriales_MAG_41;0;0;0;0;0;0;0;0;0;0;0;3471.674;5331.177;18240.633;7236.394;0;0;0;0;0;0;0;0;0;0;0;0
Flavobacteriales_MAG_5;0;0;5539.924;983.6494;0;0;0;0;0;0;0;1311.7601;858.8277;15874.593;3072.2192;0;0;0;0;0;0;0;0;0;0;0;0
Flavobacteriales_MAG_6;19113.662;9693.523;3883.762;6069.038;0;0;0;0;0;0;0;7910.039;20732.465;18406.58;25018.531;0;0;0;0;166.00049;0;203.51921;97.06761;0;0;0;0
Flavobacteriales_MAG_7;0;0;0;0;0;0;0;0;0;0;1200.2958;0;0;669.1128;834.98834;0;0;0;0;7205.5396;1642.5604;4127.1445;1315.6973;3388.5679;3400.1113;3935.0535;3501.271
Flavobacteriales_MAG_8;0;0;0;0;0;0;8949.224;6085.6606;4024.1602;2215.212;6626.378;0;0;0;0;0;0;0;0;325.04852;0;0;0;0;406.0873;0;399.22784
Flavobacteriales_MAG_9;0;0;0;0;0;0;3014.7659;2783.5718;4376.386;3189.712;9117.285;0;0;0;0;0;0;0;0;693.3998;966.4945;511.71652;1075.2462;0;941.53143;0;989.15814
